637150771|drug|-660557410|-437600692|443589485|-1827955140|key|situation|international|sister|
1165199327|art|-1486960639|1785391441|1113713331|-1539877470|woman|these|role|stand|
587235275|tough|1476107503|-937328659|-940984804|-1785762720|ability|summer|information|keep|
414327691|news|2103478967|1849931150|-510928538|-583109374|truth|travel|grow|election|
-198340115|speak|-987185282|-574557412|-1195168251|1169537661|station|skill|all|similar|
414702683|occur|-29454570|1209097464|-480039081|484372716|national|management|machine|drug|
-1754915341|sport|472185671|-2095346708|212046489|2206593|plant|manager|defense|rule|
1457470501|good|-634600300|44752991|-1279885011|-1948759218|range|away|wrong|recognize|
1743967015|technology|194791370|1486204075|-1067897967|596415848|reveal|western|huge|owner|
1426005575|adult|12115370|1622156248|1593897170|427838600|media|experience|city|read|
1760860712|environmental|-1537674979|1822673262|-1599920653|-462283298|skill|mention|probably|product|
943567478|stand|1638745170|-1133535314|1798818578|-1898534734|view|sound|day|response|
-953398481|argue|-1633260294|712771041|1769599692|-1729997442|seem|before|trouble|chance|
1987926324|although|-408065859|-1048672210|1614855898|1575294170|animal|more|west|model|
1022469274|past|-1411081208|-2020563901|1827153596|-1928112153|accept|family|today|military|
-63112722|make|-708217488|-720119603|2029698678|1670910965|newspaper|couple|mind|trouble|
780778526|black|-1691349008|1468187317|809701642|1405250748|technology|something|since|always|
-1465080042|shake|526134383|-2073687510|-629939356|-1836765054|easy|yet|office|kind|
1800879212|fly|944463750|-821861181|-25668071|-899366502|end|purpose|friend|prevent|
487420962|crime|-825795159|1527961102|-1743591945|1998290763|remain|Mrs|contain|piece|
-1373484017|age|-1647497088|-77729849|1737084393|1443977419|director|make|find|everybody|
288992001|card|685334042|317849479|-799081954|-1883366338|lose|institution|coach|term|
2041677589|agent|-1782390453|-1275263400|1243015544|-1950522726|decade|necessary|seat|nation|
501197919|share|-1460444064|-1415189057|1608326317|-52204619|list|pull|way|oil|
36490974|agency|-633283447|506695603|-1472646601|635485158|seek|child|way|top|
-498789130|dream|294040360|1196728567|-165446868|-1215141155|quite|increase|too|next|
-1642313167|bad|1237366270|-89648212|1104287110|-1242987075|how|crime|answer|draw|
1107448658|environment|922823224|-387905582|-74601864|1495708478|lay|interest|large|above|
-1572706449|send|353502597|-1725164051|-1460302390|-1448467029|collection|and|above|wife|
475854807|defense|-1780284027|931009410|1689070200|302554645|citizen|book|part|relationship|
-900086775|indicate|1491067200|-1335289548|-2121894613|2118477730|successful|edge|step|memory|
-2068320584|serious|-2007065926|-1424991706|1802813537|-1392678825|fine|century|develop|book|
400908430|since|-1263431687|1738570346|1598349566|1855268030|about|increase|yes|dream|
392189462|the|-1981686724|1113219347|-376987418|-904402951|include|none|a|particular|
1574907557|great|-484668299|-939821553|-359443281|-366510636|give|mention|bar|up|
1797389756|show|888636099|-408748324|1786047788|157721465|when|within|respond|person|
842246063|local|492353220|546102417|462298304|957098057|teach|TV|take|Congress|
-140652150|anything|-1588221119|-1136511571|-1006114431|573959918|Congress|front|million|century|
633703255|style|-1195626106|1593869806|-1469947145|-526050264|write|drop|growth|sit|
1709159758|page|1403768342|389170300|627146720|357441980|air|need|guess|part|
510664215|require|-1300227738|-1745248136|770253065|-725430799|leg|watch|someone|total|
373939632|cost|-739354068|175700752|-1768910670|1352933369|he|majority|remain|next|
300682372|our|-399273460|1160550956|-410978779|1335327099|market|enough|likely|candidate|
-708546393|long|1976942634|-1587979899|-692790844|1798830514|toward|much|Congress|activity|
-1862979194|arm|-210570643|-1574794341|414800677|397052804|outside|consumer|source|similar|
-587022786|after|1373187520|-1098980520|-1809587550|-513456455|PM|my|sport|allow|
-579587851|green|1287658391|-840252327|584046612|1530454474|respond|ten|pick|office|
-1599724666|kitchen|839930641|1951354800|-979352476|-199820927|citizen|set|memory|tonight|
-1085571984|place|-205666303|1500279309|998364925|977172012|campaign|such|rise|put|
324519586|question|-1834266852|-709446461|1811649638|99866471|bank|often|be|rather|
110066471|like|892037496|-733625220|1690426594|-90822683|great|son|just|former|
-1129306903|significant|1012279149|-70153741|775174459|-1728452201|father|laugh|also|other|
1738266219|weight|-831828539|-580955858|257227857|157628409|skill|city|quality|decade|
566083625|decade|-697808950|-42045310|-1881908059|-1426307119|seat|great|story|catch|
2110702784|yes|-901040751|-593138838|936639005|-1925547139|safe|significant|already|she|
-613169911|later|896782819|-630536777|355791667|1198195936|project|continue|family|early|
-2146741921|her|1400947282|-1356757016|1703696965|275054286|evening|mean|national|book|
-1906832581|apply|1213744312|-1874322298|-215615191|-2073743600|hundred|little|decade|young|
-1895046701|fact|-1207441669|1640677314|1913969562|1618196591|those|suggest|card|choose|
2111729651|along|-1937816998|516331883|420999119|-1532385794|thousand|tonight|increase|attorney|
-1846554639|standard|-593295476|-740908609|698672522|1343380963|age|understand|either|any|
643573940|role|288125859|-1864510095|116816731|-1350291668|charge|consumer|middle|man|
784351337|also|2008000814|1390265528|1601562982|-929901486|check|something|others|support|
519862652|listen|-680202696|-436514236|-121868951|790453641|big|Congress|left|we|
-849786484|knowledge|-2095295361|911937334|-1364134543|1643528420|animal|run|claim|report|
1224373672|you|-2040228421|-1762197518|-554597423|1299858885|beautiful|often|north|over|
-289992201|finally|566084754|1717278346|-2101450670|1993445751|either|music|story|account|
-1864635802|news|2038690339|-2091196696|991000560|-422858882|only|something|soldier|public|
1649631264|TV|336806892|-879548624|361719871|1853174987|moment|media|past|wait|
-264542418|source|-2020131464|1557660009|-1840916846|1610281252|people|pressure|food|culture|
-1404944482|send|188325716|-1804195697|-1018593219|-1638259424|century|million|law|lay|
-144143999|head|280128062|1651416775|-826991148|2139733826|between|issue|record|figure|
846304820|study|155237122|326016330|-33567860|-1315508183|country|market|experience|himself|
